label,conflicts,evaluable,rate,ci_low,ci_high,attempted,unavailable
same,119,601,0.19800332778702162,0.16810573739720502,0.2317369904677647,625.0,24.0
same_z1.96,119,601,0.19800332778702162,0.1681052244116682,0.23173764353921344,,
cross,48,115,0.41739130434782606,0.3313620672042584,0.5087610666873672,122.0,7.0
cross_z1.96,48,115,0.41739130434782606,0.3313605835213601,0.5087627402979085,,
__pool__,167,716,0.23324022346368714,0.20373794546061358,0.26558964699866894,747.0,31.0
